id,company_name,website,categorie,employees,revenue,city,region,description
21c9445774094237562d79a730d2a244,AFD,https://afd-verandas.com,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,la châtre,,"Depuis 1993, AFD propose des prestations pour vos verandas, pergolas, menuiseries, volets, stores, portes et fenetres, portes de garages, portails, serrurerie, metallerie. Notre equipe de professionnels vous presente diverses realisations et vous guide dans le choix du projet repondant le mieux a vo"
926c8631df6c4a66126cc81804ca9065,'CAUCHI DESIGN',https://cauchidesign.fr,Construction,11-50,1M-5M,marseille,,"Cauchi Design, present de la Cote Bleue a la Cote d'Azur sans oublier la magnifique ile de beaute et Niort, depuis plus dune vingtaine dannees, vous propose de decouvrir ses produits phares la pergola bioclimatique et le carport. Societe specialisee dans la fourniture, fabrication et pose de pergola"
836681d8896bac3f76269d9c48260822,Groupe ESPACS,https://groupe-espacs.com,Construction,51-200,10M-25M,,,"La premiere activite du Groupe ESPACS est nee en 1994. Specialiste de la securite physique et intelligente de sites (professionnels, collectivites et sites sensibles) a travers la pose de clotures, portails, automatismes, SSI, videosurveillance, bornes escamotables... assurees avec rigueur et profes"
6c5c8c063cc3c14a9fa5b4f6e3e0cde5,Vivre Nature Menuiserie,https://vivre-nature-menuiserie.com,Lumber and Other Construction Materials Merchant W,11-50,10M-25M,,,"Fondee en 2010 a Saint-Gilles pres de Rennes, Vivre Nature Menuiserie saffirme comme un acteur majeur de la menuiserie dans la region rennaise. Notre ambition, depuis l'origine, est de proposer des produits de qualite au meilleur prix, accompagnes d'un service complet. En 2022, nous avons etendu nos"
d780a6a99b3bd2c715bcd02f58c1fa86,TUBAUTO,https://tubauto.fr,Construction,51-200,10M-25M,cedex,bourgogne-franche-comté,"TUBAUTO est une marque du groupe Hormann dediee exclusivement a la distribution de portes pour lhabitat aupres des negoces de materiaux. TUBAUTO Distribution commercialise des portes de garage (basculantes, sectionnelles, a enroulement et a deplacement lateral), motorisations, portes dentree et des "
8933eed063c823a40be63fb8a688c8da,SYS&COM,https://sys-et-com.fr,Construction,11-50,1M-5M,montreuil idf,,"Societe d'integration de solution multimarque / multitechnique : Smart Building, Regulation CVC, Confort, GTC/GTB & Energie."
36b58d5a4543d3de287ba4750488b658,Ozenfant,https://ozenfant.fr,Construction,11-50,1M-5M,reims,,"Ozenfant est une entreprise specialisee dans la conception , la production ainsi que l'installation de fermetures automatiques."
2ace7a8f53ff262dec3cfb50d6a66fd3,ORSOL,https://orsol.fr,Lumber and Other Construction Materials Merchant W,51-200,25M-75M,st quentin du dropt,,"ORSOL est leader francais dans la fabrication delements architecturaux haut de gamme en pierre reconstituee. Lentreprise propose une large collection de produits pour lhabitat et le jardin : parements muraux pour facades et murs interieurs, piliers de portail, chapeaux de murs... Creee en 1995, lent"
18cd2c60bb6988f8f7bd1c48f50b5ff3,Landaise de Menuiserie,https://landaise-menuiserie.fr,Construction,51-200,10M-25M,mont-de-marsan,nouvelle-aquitaine,"Depuis 1968, Landaise de Menuiserie excelle dans l'art de la menuiserie ! Forts de plus de 50 ans d'experience, nous sommes presents a Mont de Marsan, Dax et Soustons, offrant a notre clientele regionale un savoir-faire remarquable et un engagement indefectible envers la satisfaction client. Notre e"
4dfde95cde29001068e7c09bb7be617b,MECANALU,https://mecanalu.com,Construction,11-50,1M-5M,dourdan,,"Mecanalu, fabricant et distributeur de cloisons aluminium et boxs acoustiques depuis plus de 25 ans a travers toute la France repond a toutes vos problematiques de cloisonnement despace de bureaux en vous proposant des cloisons aux lignes epurees tres design beneficiant de tres hautes performances a"
